power_demand_MWh,is_weekend,hour_sin,hour_cos,resident_pop,working_pop,visitor_pop,total_visitors,renewable_energy_mwh,TA_mean,HM_mean,HM_max,tropical_night,CDD,power_1h,power_24h,power_48h,power_168h
591.869,1,0.7071067811865476,-0.7071067811865475,247197.0,20294.0,145483.0,31452.0,64.11,20.575,94.25,97.0,0,0.0,569.876,671.963,624.26,589.511
619.003,1,0.49999999999999994,-0.8660254037844387,247197.0,20294.0,145483.0,31452.0,55.43,21.35,91.25,95.0,0,0.0,591.869,695.403,636.801,631.103
629.072,1,0.258819045102521,-0.9659258262890682,247197.0,20294.0,145483.0,31452.0,43.190000000000005,21.425,88.0,93.0,0,0.0,619.003,685.009,641.195,658.645
622.265,1,1.2246467991473532e-16,-1.0,247197.0,20294.0,145483.0,31452.0,47.93,21.275,89.25,97.0,0,0.0,629.072,669.386,646.972,656.029
616.892,1,-0.2588190451025208,-0.9659258262890683,247197.0,20294.0,145483.0,31452.0,67.75,21.5,88.75,94.0,0,0.0,622.265,684.964,667.426,657.615
622.209,1,-0.4999999999999997,-0.8660254037844388,247197.0,20294.0,145483.0,31452.0,38.18,21.5,87.75,94.0,0,0.0,616.892,668.74,667.27,661.087
623.745,1,-0.7071067811865471,-0.7071067811865479,247197.0,20294.0,145483.0,31452.0,21.939999999999998,20.975,92.0,97.0,0,0.0,622.209,661.548,662.757,665.944
623.664,1,-0.8660254037844384,-0.5000000000000004,247197.0,20294.0,145483.0,31452.0,25.06,20.9,92.75,96.0,0,0.0,623.745,666.07,663.97,676.741
636.12,1,-0.9659258262890683,-0.25881904510252063,247197.0,20294.0,145483.0,31452.0,16.310000000000002,20.725,93.5,98.0,0,0.0,623.664,671.248,668.485,695.535
643.21,1,-1.0,-1.8369701987210297e-16,247197.0,20294.0,145483.0,31452.0,10.27,20.375,94.25,100.0,0,0.0,636.12,672.142,672.352,700.525
653.539,1,-0.9659258262890684,0.2588190451025203,247197.0,20294.0,145483.0,31452.0,6.539999999999999,20.4,94.25,100.0,0,0.0,643.21,675.685,685.039,703.826
655.013,1,-0.8660254037844386,0.5000000000000001,247197.0,20294.0,145483.0,31452.0,4.71,20.35,95.0,99.0,0,0.0,653.539,672.457,684.389,698.037
635.792,1,-0.7071067811865477,0.7071067811865474,247197.0,20294.0,145483.0,31452.0,0.87,20.15,94.75,100.0,0,0.0,655.013,649.743,659.845,669.699
608.432,1,-0.5000000000000004,0.8660254037844384,247197.0,20294.0,145483.0,31452.0,0.31000000000000005,20.175,95.5,100.0,0,0.0,635.792,619.707,621.599,638.136
590.521,1,-0.25881904510252157,0.9659258262890681,247197.0,20294.0,145483.0,31452.0,0.38,20.5,95.25,99.0,0,0.0,608.432,597.517,593.782,613.268
548.716,1,0.0,1.0,142639.0,7073.0,76062.0,31599.0,0.16999999999999998,20.375,95.75,100.0,0,0.0,590.521,553.199,550.974,565.815
